tweets_transform,result,polarity
ri tdk dlm apbdp dki jakarta 2019 sdh dianggarkan pembayaran co,netral,0.0
aduhh coba cari tau deh masterplan pengembangan mandalika tolong ja,netral,0.0
jelang formula e series jakarta 5 pebalap calon jawara series jakarta,netral,0.0
jelang formula e series jakarta 5 pebalap calon jawara series jakarta,netral,0.0
ketua dprd dki jakartaprasetio edi marsudiberjanji terang dugaan korupsi formula e jakarta pad,negatif,-0.1
kpk transparan pengusutan dana formula e jakarta,netral,0.0
hubungannya ki bedul si pawang hujan kedatangan anies anies studi bandi,netral,0.0
dibaca nih beritanya yahformula e pake pawang hujan jugakalo bahasanya wagub dki tergantu,netral,0.0
stop bicara mandalika dukung formula e jakarta dukung gub sukseskan jis formula e,netral,0.0
didu woe upinjangan sebar hoax kau bangke,netral,0.0
ngk mangkrak peruntukannya formula e ajang ba,netral,0.0
panggil anies ketua dprd dki kpk transparan akuntabel usut formula eformulae,netral,0.0
ketua dprd dki beberkan ijon rp 180 miliar pemprov bank dki formula eformulae jakarta aniesbaswedan,netral,0.0
dprd dki jakarta menetapkan mengesahkan perubahan apbd 2019saya menduku,netral,0.0
dki jakarta tuan rumah ajang balap internasional formula e 4 juni 2022 pemerintah provinsi pemp,netral,0.0
sirkuit formula e jakarta utara dilaporkan mencapai 80 pengerjaan perkembangan dikebut jelang persia,netral,0.0
ketua dprd dki jakarta prasetyo edi diperiksa kpk dugaan korupsi proyek formula e ancol,negatif,-0.1
asmara1701 silalahi waahhklu kalah pamor anies,netral,0.0
ketua dprd dki jakarta prasetyo edi marsudi diperiksa kpk terkait dugaan korupsi formula e prasetyo,negatif,-0.1
ketua dprd dki jakarta diperiksa kpk terkait formula eada pawang apbd dkiformulae,netral,0.0
ekokuntadhi eh botak bkn nya tereakin migor lg mahal tereakin motogp formula emigor nih mahal lu taekin,negatif,-0.5
sih seneng nya nyontek,positif,0.8
salah ide formula e murni dr anies jd pusat tdk terlibat dar,positif,0.057142857142857134
ketua dprd dki jakarta prasetio edi marsudi diperiksa kpk terkait formula e mengaku anggaran rp,netral,0.0
prasetyo edi menjalani pemeriksaan gedung merah putih kpk jakarta selasa 223 keterangan seb,netral,0.0
prasetio edi berjanji patuh keterangan apapun kpk,netral,0.0
lintasan sirkuit formula e eprix jakarta diaspal lapisan 1formula e ancol jakarta utar,netral,0.0
selamat suksesnya penyelenggaraan motogp mandalika indonesia emang keren presiden keren,positif,0.3333333333333333
wakil gubernur dki jakarta ahmad riza patria tanggapan terkait pemeriksaan ketua dprd dki jakar,netral,0.0
ketua dprd dki jakarta prasetyo edi marsudi mengaku dinas pendidikan olahraga dispora dk,netral,0.0
ri poco poco menari maumere kpk periksa ketua dprd dki jakarta prasetyo m terkait dugaan balap mobi,negatif,-0.1
kali ketua dprd dki jakarta prasetyo edi marsudi diperiksa kpk dugaan korupsi formula,negatif,-0.1
refa see you at jakarta formula e,netral,0.0
prasetio disidang bk diduga pelanggaran etik terkait hak interpelasi gubernur dki jakarta ani,positif,0.2
formula e gak disangkutkan warga jakarta yg meninhal sungai pas berak,netral,0.0
wakil gubernur dki jakarta ahmad riza patria menanggapi kehadiran ketua dprd dki prasetyo edi marsudi gedung kom,netral,0.0
anak kelahiran jakarta jakarta terdaftar penduduk jakarta mohon doa restu ac,positif,0.1
poco poco ri kpk periksa ketua dprd dki jakarta prasetyo marsudi terkait dugaan korupsi penyelengga,negatif,-0.1
ketakutan formula e pake pawang anggaran karna kebongkar aib mengeruk apbd jakarta mbk,netral,0.0
prasetyo edi marsudi selasa 22 maret 2022 gedung komisi pemberantasan korupsi kpk,netral,0.0
ketua dprd dki kali dipanggil kpk formula e wagub,netral,0.0
ketua dprd dki prasetyo edi marsudi memenuhi undangan kpk terkait dugaan korupsi proses penyelenggaraan bal,negatif,-0.1
persija udah juara hati gw maen jakarta ntar gw ajak liat jis mantau sirkuit fo,netral,0.0
kayaknya cuman bolak ngecek periksa dll sih ngulur ngulur,netral,0.0
kalo formula e dgn perencanaan abal2 terselenggara nih beritanya ketua dprdnya pes,netral,0.0
formula e jakarta tinggal 74 status penjualan tiket not on sale,netral,0.0
majulah negeriku motogp formula e stadion jis jakarta tuan rumah piala duniaini tanda tanda indonesia,netral,0.0
ketua dprd dki prasetyo edi diperiksa kpk formula e,netral,0.0
pemeriksaan korupsi formula e berlanjut ketua dprd dki jakarta prasetyo edi marsudi penuhi panggilan kpk,netral,0.0
barakallahu fiik anies selamat keluarga menyambut suci ramadhan semoga allah,positif,0.8
wagub dki isyaratkan memakai pawang hujan formula ejakarta,netral,0.0
ketua dprd dki penuhi panggilan kpk penyelidikan dugaan korupsi formula e,negatif,-0.1
wagub dki jakarta klaim pembangunan sirkuit formula e capai 80 persen,netral,0.0
warga negara pimpinan dprd provinsi dki jakarta patuh keterangan,positif,0.4
formula e proyek ambisius yg dipaksakan tdk manfaat bg warga jakarta knp janji kamp,negatif,-0.025000000000000022
dki fokus lanjutan pembangunan sirkuit penanaman rumput,positif,0.4
komisi pemberantasan korupsi kpk memanggil ketua dprd dki jakarta prasetyo edi marsudi keterangan,netral,0.0
achmadi insyaallah jakarta utara g hujan klo pas formula e krn jakarta utara jaran,netral,0.0
kpk tegaskan mainmain usut dugaan korupsi formula e jakartakpkupdates,netral,0.0
prasetyo edi marsudi dipanggil kpk beberkan dugaan korupsi formula e,negatif,-0.1
proses pembangunan sirkuit formula e jakarta,netral,0.0
jakarta international eprix circuit jiec sirkuit ancol mencapai 80 persen penyelesaian sirkuit a,netral,0.0
semoga keterangan membantu penyidik terang permasalahan formula e jakarta,positif,0.7000000000000001
pks jakarta penyelenggara formula e ancol pakai jasa pawang hujanpawanghujan pawanghujanmandalika,netral,0.0
tidakharam besok nonton formula e aja ya bikin caption lho jakarta,netral,0.0
pemprov dki isyaratkan pakai pawang hujan ajang formula e jakarta,netral,0.0
formula e salah acara internasional digelar jakarta jadwalnya,negatif,-0.5
fans formula e penyelenggaraan formula e jakarta sukses alasannya,positif,0.75
wagub dki ahmad riza patria berharap kesuksesan gelaran balap motor motogp mandalika diikuti kesuksesa,positif,0.3
pemprov dki isyaratkan pakai pawang hujan ajang formula e jakarta,netral,0.0
top news koran rakyat merdekamotogp sukses digelar oposisi koalisi formula eformulae,positif,0.625
setuju nih formula e diapresiasi sesuai levelnya,positif,0.2
pawang hujan formula e jakarta kayaknya sby tuh takut kehujan,negatif,-0.6
ahmad riza patria bicara pembangunan sirkuit formula e ancol jakarta utara frasa si,netral,0.0
kemarin dilarang menghujat kepentingan indonesia formula e yg adain negara jakarta yaa,netral,0.0
pas penyelenggaraan formula e jakarta zona merah cenderung hitam,negatif,-0.08333333333333333
jakarta adakan formula e tujuannya kampanye kndaraan listrik utk kurangi polusi udara jg k,netral,0.0
ternyatakebanyakan dr yg nyinyir even motogp mandalika berbau politissebagian besarnya m,netral,0.0
balapan formula e jakarta dinilai pakai pawang hujan alasannya,netral,0.0
blm perhalatan e formula kota jakarta jg kebanggaan indonesia l,netral,0.0
ketua fraksi dprd dki jakarta achmad yanipenyelenggaraformula e jasa pawang hujan pe,netral,0.0
fokus pelaksanaan formula e digelar tidakjangan bakti gub,netral,0.0
zeebo bicara nasionalisme kelompok mengejek rencana perhelatan formula e,netral,0.0
c1ab air masuk tanah mengalir laut godongraksasajadi kalo ba,netral,0.0
tunggu formula e pake pawang gk nih warga jakarta utk ngedumel kemacetan krn jakarta maceto,netral,0.0
wakil gubernur wagub dki jakarta ahmad riza patria menyatakanpembangunansirkuit formula e jakarta mencapa,netral,0.0
balapan formula e jakarta pakai pawang hujan,netral,0.0
legislator dki jakarta pelaksanaan formula e sukses dibanding motogp estiarimiputri,positif,0.75
formula e hrsnya selesai tdk jegal ttp jegal res beres sesuai dgn de,negatif,-0.1
kasihan nih org babu nya anies sdh akherat duluan pdhl formula e jakarta blm dikenal dunia,negatif,-0.25
zeebo setuju warga lokal jecipratan rezeki mari dukung pergelatan formula e jakarta,netral,0.0
kebenaran menemukan jalanyasetujupengurus gerejabelum berpikiran jemaatmisa,netral,0.0
kalo mandalika aja rame formula e rame kali hajatan akbar jakarta ya asian games 2018,netral,0.0
gue sih berharap dukun rara yg it worked indonesiangp go to formula e,netral,0.0
balapan formula e jakarta dinilai pakai pawang hujan alasannya,netral,0.0
zeebo emang formula e digelar klo ya indonesia jakarta u,netral,0.0
zeebo ga tau klw formula e jakarta kasusnya dngn yg mandalika klw i,netral,0.0
asmara1701 formula e jd harapan jakarta woyyy banjir gmn dp nol manaaa ok oce manaaaa formu,positif,0.5
pembangunan sirkuit formula e jakarta melibatkan 400 pekerja konstruksi seputar cibubur,netral,0.0
ekokuntadhi orang kontet mah bebas akhirat silahkan duluan gue mah kudu lihat formula e digelar jakarta,positif,0.325
zeebo basi narasi pecah belah nnti formula e jakarta tau gw lu komen,negatif,-0.5
balapan formula e jakarta dinilai pakai pawang hujan alasannya,netral,0.0
formula e jakarta pakai pawang rawa,netral,0.0
doakan sja formula e berjalan dgn formula e berhasil bangga anggap sebag,positif,0.8
viral pawang hujan motogp mandalika formula e jakarta wagub riza pawanghujan,netral,0.0
udah engga sabar formula e membawa keberkahan jakarta indonesia jakarta maj,netral,0.0
pembangunan sirkuit formula e capai 80 persen,netral,0.0
narsis tp maaf formula e menerima dukun pawang hujan jakarta mengandalkan il,negatif,-0.5
wagub dki isyaratkan pakai pawang hujan formula e jakarta,netral,0.0
pawang hujan motogp mandalika tunggu pawang anggaran formula e jakarta,netral,0.0
crab ekokuntadhi kabarnya formula e jakarta dibongkar acara kaget dengernya,negatif,-0.7
wagub dki pembangunan sirkuit formula e jakarta capai 80inilahcom inilahdotcom,netral,0.0
c u at jakarta formula e,netral,0.0
motogp mandalika membutuhkan pawang hujanformula e jakarta membutuhkan pawang buzzer,netral,0.0
lintasan balap formula e dipertahankan acaranya ancol,netral,0.0
ahhh monyong bknya migor yg lu taekin dukun lgmotogp klo engga formula e,netral,0.0
menyontoh sukses motogp mandalika genpi dki serukan warga jakarta sukseskan formulae,positif,0.3
jakarta tenggelam formula e gak sukses,negatif,-0.15
motogp mandalika pawang hujan psi formula e jakarta pawang anggaran utk usir tuyulkalo,netral,0.0
wow pembalap formula 1 pindah formula e sadis formula e the great racing on the world in ja,positif,0.45
tauternyata formula e dilaksanakan jakarta akherat yg nonton silahkan akhirat,netral,0.0
4 terkait penggunaan jasa pawang hujan wakil gubernur dki jakarta ahmad disesuaikan balap,netral,0.0
2 wagub jkt lu baca aje beritanya,netral,0.0
penyelenggaraan event jakarta formula e citra membawa indonesia tuan ruma,netral,0.0
berbeda pandangan politiktetapi wni bangga pagelaran motogp mandalika kemarin be,positif,0.26666666666666666
ketua fraksi pks dprd dki jakarta achmad yani penyelenggaraan formula e jakarta jasa pawan,netral,0.0
kalo tuh event formula e juni emang juni lnagit jakarta ujanyg bener aja drun,positif,0.2
bingung jakarta sirkuit sentul sirkuit f,negatif,-0.4
formula e parah yg blum event nya digelar mendingan dana nya bua,positif,0.5
progres pengaspalan tahap pembangunan lintasan formula e kawasan ancol pademangan jakarta utara,netral,0.0
formula e kolaborasi penyelenggara motogp mandalika,netral,0.0
wagub dki riza patria berharap formula e jakarta berjalan sukses motogp mandalika tempometro,positif,0.75
keren banget kalo formula e jakarta kira2 seri yahberharap 1 seri,positif,0.35
suka2 pemprov jakarta aja deh gak jauh2 akhirat tunggu aja gimana gelaran formula e,negatif,-0.05
wagub dki progres pembangunan sirkuit formula e capai 80 persen,netral,0.0
pt jakarta propertindo jakpro optimistis sirkuit formula e ancol rampung maret lambat,netral,0.0
next formula e on jakarta,netral,0.0
wow pembalap formula 1 pindah formula e sadis formula e the great racing on,positif,0.45
c1ab asc,netral,0.0
c1ab asc,netral,0.0
wagub dki pengaspalan sirkuit formula e selesai tinggal penanaman rumput jalur,positif,0.13636363636363635
wakil gubernur dki jakarta ahmad jasa pawang hujan ajang balapan formula e,netral,0.0
kalo formula e dgn perencanaan abal2 kerugian negaranya kasian warga jakarta kalo,netral,0.0
asmara1701 jakarta perjuangan,netral,0.0
c1ab asc,netral,0.0
c1ab asc,netral,0.0
pembangunan sirkuit formula e kawasan ancol jakarta utara selesai pengaspalan tahap pertamapenana,netral,0.0
wajar yg malu gak lazim balapan moto gpklo km sudutkan org yg malu kebara,negatif,-0.29999999999999993
progres pembangunan sirkuit formula e jakarta diungkap ahmad riza patria,netral,0.0
juru bicara dewan pimpinan pusat dpp partai solidaritas indonesia psi sigit widodo persam,netral,0.0
pemilihan formula e jakarta disesuaikan musim hujan,netral,0.0
nich biar ente pembalap terkenal formula e the great racing on the world in jakarta soo,positif,0.65
pembangunan sirkuit formula e kawasan ancol jakarta utara selesai proses pengaspalan tahap,netral,0.0
disesuaikan musimnya musim hujan mengelola ba,netral,0.0
hdyat28 formula e 45 triliun uang rakyat jakarta sumur resapan mubazir 450 milyar,netral,0.0
jakarta pakai pawang hujan mbak rara formula e kumparannews,netral,0.0
formula e jakarta digelar juni pawang hujan,netral,0.0
bun tweter ramai petugas kebersihan mandalika komplen penonton yg ninggalin sampa,positif,0.1
elite psi menanggapi menyinggung ajang formula e digelar jakarta juni 2022 juru bicar,netral,0.0
bang sampah efen formula e tolong konsentrasiin panitia cari solusi,negatif,-0.2
wakil gubernur dki jakarta ahmad penggunaan jasa pawang hujan,netral,0.0
getar trimakasih saudara ku evaluasi nya sya yaqin krn kecintaan pda konsep budaya bagus indonesi,positif,0.6
ketua fraksi pdi perjuangan dprd dki jakarta gembong warsono menilai penyelenggaraan formula e memakai pa,netral,0.0
akau bangga ke2nya mandalika target pasarnya pariwisata dgn keindahan a,positif,0.8
orang2 ribut bgt bandingin gp mandalika formula e jakarta jokowinya setuju formula e an,netral,0.0
kabar formula e jakarta 2022,netral,0.0
ekokuntadhi kira2 nnti jokowi kaget ngak ya formula e jakarta,negatif,-0.7
tpbolon sekda syaifullah berangkat menghadap illahi mengabarkan penduduk akhiirat f,netral,0.0
gk komentar ttg formula e netizenlha cobabiarkan catatan sejarah pemp,netral,0.0
lupakan kontroversi mba rara dgn tetabuhan panci emas beliau berharap momen sukses internasional,positif,0.19999999999999998
ketua komite pelaksana formula e jakarta ahmad sahroni pembangunan sirkuit formula e kawasan ancol,netral,0.0
nama anies terseret psi motogp pawang hujan formula e jakarta butuh,netral,0.0
ketua fraksi pks dprd dki jakarta achmad yani mengaku penyelenggaraan formula e jakarta menggu,netral,0.0
pembangunan sirkuit formula e jakarta pengaspalan tahap rampung,netral,0.0
juru bicara dpp partai solidaritas indonesia psi sigit widodo mengungkap persamaan perhelatan motogp ma,netral,0.0
pawang anggaranmenusuk hati menikam menohokmak jleeb,netral,0.0
la iya dok petani aja kekeringan hujan doanya sholatnya,netral,0.0
anies baswedan beredar mandalika menonton motogp bikin buzzerp kejangkejangmudah,netral,0.0
event formula e sengaja dibikin gagal anis dunia tau nya event negara ja,negatif,-0.3166666666666667
tergantung lingkup liputan gebyarnya kalo lingkupnya seputar warga dki jakarta nggak,negatif,-0.4000000000000001
balapan formula e jakarta ramal menggemparkan dunia akhiratpincukmarai duguyu ae,negatif,-0.7
man kalo ngik,netral,0.0
nya formula e bermasalah yah jakarta klo de ngebantu yg kena jebakan batman,netral,0.0
krn formula e sukses indonesia bangga jakarta sekelompok orang,positif,0.8
era sby sirkuit sentul kali dipakai dlm ajang balap mobil a1 musim balap 20056 20067berikutnya,netral,0.0
event motogp pertamina grand prix of indonesia 2022 pertamina mandalika street sircuit suksesselanjutnya eve,positif,0.26666666666666666
surya26 formula e terkenaltp org jakarta lbh kenal inget janji pemodalan oke oce,positif,0.5
official ya mahasewa beraksi korupsi dp 0 rupiah amp formula e rakyat miskin jakarta bertambah amp ba,negatif,-0.15000000000000002
ekokuntadhi surya dilema formula e wan got pakai pawang hujan gak berhasil pawangnya,negatif,-0.2
mandalika menyambut balapan formula e jakarta harapan,netral,0.0
kpk tegaskan main main usut dugaan korupsi formula e jakartakpkproject,negatif,-0.1
disewakan apartemen st moritz puri indah jakarta barat tower presidential 3 bedrooms fully furnished,netral,0.0
sewa apartemen sudirman park jakarta pusat murah tipe studio1br2br full furnished langsung pemilik perantar,positif,0.2833333333333333
live event formula e jakartagak pake hujan gak pake pawang,positif,0.13636363636363635
e formula jakarta penontonnya nih depa,netral,0.0
kira2 sirkuit formula e tar tengah2nya dilubangi gede2 ga sumur resapan kayak dijalanan kampung jakarta,netral,0.0
psi motogp pawang hujan formula e jakarta butuh pawang tuyul,netral,0.0
tidakharam lihat jis diresmikan event formula e mas,netral,0.0
formula e jakarta pawang anggaran tuyul formula e misterius,netral,0.0
psi motogp pawang hujan formula e jakarta butuh pawang tuyul,netral,0.0
fix ya formula e gak 2024 jakarta,netral,0.0
sakit hati 2 taon gagal mulu pengen nonton formula e jakarta,negatif,-0.5
pengalaman event formula e jgn sampe kayak panitianya nantin,netral,0.0
smoga formula e jakarta sukses,positif,0.75
jakarta vs everybody premium tumbler one day service089505657923 garansi 100jakartahits,netral,0.0
diperbaiki pengaturan lintas bus cadangan mandalika semoga jakarta selenggarakan formula,netral,0.0
mantappp bawa formula 1 maen jakarta abis formula e,netral,0.0
menghitung molornya pembangunan sirkuit formula e jakartakontrak tgl 28 maret 2022,netral,0.0
juru bicara dpp psi sigit widodo warga jakarta pawang anggaran mengusir tuyultuyul yan,netral,0.0
bsd masuk wilayah jakartabener kapolda nnti trek,netral,0.0
halu apakabar artikelmu kmaren formula e jakarta gimana update beritanya kerja yg bener jurnalisnya,positif,0.2
formula e dinyinyirin krn membangkitkan ekonomi jakarta,netral,0.0
psi menyindir motogp pawang hujan formula e jakarta butuh pawang anggaran usir tuyul,netral,0.0
idha formula e selesai digelar jakarta,netral,0.0
asmara1701 super kreen lupa event formula e jakarta gaungkan tagar,positif,0.3333333333333333
kalo tdk diklaim dasar asumsi kalo dibangun jakarta an,netral,0.0
pagii senin jakarta bogor puncak via tol jagorawi terbaru maret 2022 gegara nonton elclasico barcelona,positif,0.5
sehat sllu anies semoga sllu lindungi allah swtkita sllu dukung kegiatan nya semoga sukses,positif,0.4
perencanaan formula e tuyultuyul mengganggu uang rakyatwarga jakarta pawang anggaran un,netral,0.0
motogp sirkuit mandalika formula e jakarta samasama pawangkalau motogp pawang hujan,netral,0.0
formula e aroma markup nya kenceng maskalau jokowi bantu kesenangan gubernur jakarta yan,netral,0.0
perhelatan motogp mandalika terbilang sukses meriah marc marquez balapan cu,positif,0.525
abis motogp mandalika formula e jakarta yuk dukung samasama bawa nama indonesia tinggal dicek aj,netral,0.0
kabar terbaru pembangunan sirkuit formula e kawasan ancol jakarta utara catat tanggalnya ya sirkuitformulae,positif,0.5
formula e keren deh gubernurnya penonton tumpah ruah jaka,positif,0.35
mantab anies tunggu sejarah gelaran formula e jakarta pendukung malu sete,negatif,-0.35
motogp sukses saksikan formula e berdoa minimal jakarta menya,positif,0.75
gak sih bro formula e maen jakarta pertanyaanya yg nonton gak,netral,0.0
ah gak maluyang malu jakarta gubernurnya maksa gelar formula edalam 2 ta,negatif,-0.30000000000000004
motogp mandalika pawang hujan psi formula e jakarta pawang anggaran usir tuyul,netral,0.0
heran untungnya membanding2kan f1 mandalika formula e jakartadua2nya berpotensi ekonomi branding nama negara,positif,0.20000000000000004
debatdebat tolol berlanjut sampe formula e jakarta capek bgt liatnya,negatif,-0.6000000000000001
doakn smangati bg smoga trsmogakanformula e jakartaformula 1 d bintan kabarnya,netral,0.0
smoga tahun2 brikutnya indonesia bisasmakin byk event internasional indo,netral,0.0
man yg usik buadaya org mslh pawang hujan kepercayaan o,netral,0.0
pemerintah mendorong formula e fe motogp samasama nguntungin indonesia,netral,0.0
